name,name_bn,specialty,specialty_bn,area,area_bn,district,division,phone,hours,rating,is_verified,is_active
Dr. Rahim Uddin 1,ডা. রহিম উদ্দিন 1,Cardiologist,কার্ডিওলজিস্ট,Mirpur,,Dhaka,Dhaka,01711002740,Sat–Thu 9am–2pm,3.8,1,1
Dr. Salma Begum 2,ডা. সালমা বেগম 2,Pediatrician,পেডিয়াট্রিশিয়ান,Dhanmondi,,Chittagong,Chittagong,01711002877,Sun–Fri 5pm–9pm,3.9,0,1
Dr. Kamal Hossain 3,ডা. কামাল হোসেন 3,Medicine,মেডিসিন,Uttara,,Rajshahi,Rajshahi,01711003014,Sat–Thu 9am–2pm,4.0,1,1
Dr. Nasrin Akter 4,ডা. নাসরিন আক্তার 4,Dentist,ডেন্টিস্ট,Gulshan,,Khulna,Khulna,01711003151,Sun–Fri 5pm–9pm,4.1,0,1
Dr. Jahangir Alam 5,ডা. জাহাঙ্গীর আলম 5,Gynecologist,গাইনোকোলজিস্ট,Mohammadpur,,Sylhet,Sylhet,01711003288,Sat–Thu 9am–2pm,4.2,1,1
Dr. Ayesha Siddiqua 6,ডা. আয়েশা সিদ্দিকা 6,Orthopedic,অর্থোপেডিক,Banani,,Barisal,Barisal,01711003425,Sun–Fri 5pm–9pm,4.3,0,1
Dr. Mizanur Rahman 7,ডা. মিজানুর রহমান 7,Neurologist,নিউরোলজিস্ট,Agrabad,,Rangpur,Rangpur,01711003562,Sat–Thu 9am–2pm,4.4,1,1
Dr. Farhana Yasmin 8,ডা. ফারহানা ইয়াসমিন 8,Dermatologist,চর্মরোগ বিশেষজ্ঞ,Zindabazar,,Mymensingh,Mymensingh,01711003699,Sun–Fri 5pm–9pm,4.5,0,1
Dr. Rahim Uddin 9,ডা. রহিম উদ্দিন 9,ENT,নাক-কান-গলা বিশেষজ্ঞ,Sadar,,Dhaka,Dhaka,01711003836,Sat–Thu 9am–2pm,4.6,1,1
Dr. Salma Begum 10,ডা. সালমা বেগম 10,Ophthalmologist,চক্ষু বিশেষজ্ঞ,Kotwali,,Chittagong,Chittagong,01711003973,Sun–Fri 5pm–9pm,4.7,0,1
Dr. Kamal Hossain 11,ডা. কামাল হোসেন 11,Cardiologist,কার্ডিওলজিস্ট,Mirpur,,Rajshahi,Rajshahi,01711004110,Sat–Thu 9am–2pm,4.8,1,1
Dr. Nasrin Akter 12,ডা. নাসরিন আক্তার 12,Pediatrician,পেডিয়াট্রিশিয়ান,Dhanmondi,,Khulna,Khulna,01711004247,Sun–Fri 5pm–9pm,4.9,0,1
Dr. Jahangir Alam 13,ডা. জাহাঙ্গীর আলম 13,Medicine,মেডিসিন,Uttara,,Sylhet,Sylhet,01711004384,Sat–Thu 9am–2pm,3.8,1,1
Dr. Ayesha Siddiqua 14,ডা. আয়েশা সিদ্দিকা 14,Dentist,ডেন্টিস্ট,Gulshan,,Barisal,Barisal,01711004521,Sun–Fri 5pm–9pm,3.9,0,1
Dr. Mizanur Rahman 15,ডা. মিজানুর রহমান 15,Gynecologist,গাইনোকোলজিস্ট,Mohammadpur,,Rangpur,Rangpur,01711004658,Sat–Thu 9am–2pm,4.0,1,1
Dr. Farhana Yasmin 16,ডা. ফারহানা ইয়াসমিন 16,Orthopedic,অর্থোপেডিক,Banani,,Mymensingh,Mymensingh,01711004795,Sun–Fri 5pm–9pm,4.1,0,1
Dr. Rahim Uddin 17,ডা. রহিম উদ্দিন 17,Neurologist,নিউরোলজিস্ট,Agrabad,,Dhaka,Dhaka,01711004932,Sat–Thu 9am–2pm,4.2,1,1
Dr. Salma Begum 18,ডা. সালমা বেগম 18,Dermatologist,চর্মরোগ বিশেষজ্ঞ,Zindabazar,,Chittagong,Chittagong,01711005069,Sun–Fri 5pm–9pm,4.3,0,1
Dr. Kamal Hossain 19,ডা. কামাল হোসেন 19,ENT,নাক-কান-গলা বিশেষজ্ঞ,Sadar,,Rajshahi,Rajshahi,01711005206,Sat–Thu 9am–2pm,4.4,1,1
Dr. Nasrin Akter 20,ডা. নাসরিন আক্তার 20,Ophthalmologist,চক্ষু বিশেষজ্ঞ,Kotwali,,Khulna,Khulna,01711005343,Sun–Fri 5pm–9pm,4.5,0,1
Dr. Jahangir Alam 21,ডা. জাহাঙ্গীর আলম 21,Cardiologist,কার্ডিওলজিস্ট,Mirpur,,Sylhet,Sylhet,01711005480,Sat–Thu 9am–2pm,4.6,1,1
Dr. Ayesha Siddiqua 22,ডা. আয়েশা সিদ্দিকা 22,Pediatrician,পেডিয়াট্রিশিয়ান,Dhanmondi,,Barisal,Barisal,01711005617,Sun–Fri 5pm–9pm,4.7,0,1
Dr. Mizanur Rahman 23,ডা. মিজানুর রহমান 23,Medicine,মেডিসিন,Uttara,,Rangpur,Rangpur,01711005754,Sat–Thu 9am–2pm,4.8,1,1
Dr. Farhana Yasmin 24,ডা. ফারহানা ইয়াসমিন 24,Dentist,ডেন্টিস্ট,Gulshan,,Mymensingh,Mymensingh,01711005891,Sun–Fri 5pm–9pm,4.9,0,1
Dr. Rahim Uddin 25,ডা. রহিম উদ্দিন 25,Gynecologist,গাইনোকোলজিস্ট,Mohammadpur,,Dhaka,Dhaka,01711006028,Sat–Thu 9am–2pm,3.8,1,1
Dr. Salma Begum 26,ডা. সালমা বেগম 26,Orthopedic,অর্থোপেডিক,Banani,,Chittagong,Chittagong,01711006165,Sun–Fri 5pm–9pm,3.9,0,1
